Direction,time,Rate
Read,2023-6-29-09:07:04,2056.1
Write,2023-6-29-09:07:04,2056.7
Read,2023-6-29-09:07:05,2055.1
Write,2023-6-29-09:07:05,2057.6
Read,2023-6-29-09:07:05,2055.9
Write,2023-6-29-09:07:05,2055.8
Read,2023-6-29-09:07:06,2040.6
Write,2023-6-29-09:07:06,2043.4
Read,2023-6-29-09:07:06,2072.0
Write,2023-6-29-09:07:06,2068.3
Read,2023-6-29-09:07:07,2055.5
Write,2023-6-29-09:07:07,2053.8
Read,2023-6-29-09:07:07,2055.9
Write,2023-6-29-09:07:07,2057.7
Read,2023-6-29-09:07:08,2055.1
Write,2023-6-29-09:07:08,2055.7
Read,2023-6-29-09:07:08,2056.2
Write,2023-6-29-09:07:08,2055.8
Read,2023-6-29-09:07:09,2050.6
Write,2023-6-29-09:07:09,2048.9
Read,2023-6-29-09:07:09,2060.7
Write,2023-6-29-09:07:09,2061.6
Read,2023-6-29-09:07:10,2055.6
Write,2023-6-29-09:07:10,2056.8
Read,2023-6-29-09:07:10,2055.7
Write,2023-6-29-09:07:10,2055.9
Read,2023-6-29-09:07:11,2056.6
Write,2023-6-29-09:07:11,2055.8
Read,2023-6-29-09:07:11,2055.9
Write,2023-6-29-09:07:11,2056.1
Read,2023-6-29-09:07:12,2055.0
Write,2023-6-29-09:07:12,2055.2
Read,2023-6-29-09:07:12,2056.1
Write,2023-6-29-09:07:12,2056.4
Read,2023-6-29-09:07:13,2055.6
Write,2023-6-29-09:07:13,2055.8
Read,2023-6-29-09:07:13,2056.8
Write,2023-6-29-09:07:13,2056.2
Read,2023-6-29-09:07:14,2055.8
Write,2023-6-29-09:07:14,2055.0
Read,2023-6-29-09:07:14,2055.5
Write,2023-6-29-09:07:14,2056.6
Read,2023-6-29-09:07:15,2055.5
Write,2023-6-29-09:07:15,2055.8
Read,2023-6-29-09:07:15,2056.5
Write,2023-6-29-09:07:15,2056.0
Read,2023-6-29-09:07:16,2055.8
Write,2023-6-29-09:07:16,2055.7
Read,2023-6-29-09:07:16,2055.9
Write,2023-6-29-09:07:16,2055.8
Read,2023-6-29-09:07:17,2055.7
Write,2023-6-29-09:07:17,2055.0
Read,2023-6-29-09:07:17,2055.1
Write,2023-6-29-09:07:17,2056.5
Read,2023-6-29-09:07:18,2055.9
Write,2023-6-29-09:07:18,2055.9
Read,2023-6-29-09:07:18,2056.6
Write,2023-6-29-09:07:18,2056.0
Read,2023-6-29-09:07:19,2052.7
Write,2023-6-29-09:07:19,2051.3
Read,2023-6-29-09:07:19,2059.1
Write,2023-6-29-09:07:19,2058.2
Read,2023-6-29-09:07:20,2055.2
Write,2023-6-29-09:07:20,2058.0
Read,2023-6-29-09:07:20,2056.4
Write,2023-6-29-09:07:20,2056.0
Read,2023-6-29-09:07:21,2055.8
Write,2023-6-29-09:07:21,2055.7
Read,2023-6-29-09:07:21,2056.1
Write,2023-6-29-09:07:21,2056.1
Read,2023-6-29-09:07:22,2056.0
Write,2023-6-29-09:07:22,2049.4
Read,2023-6-29-09:07:22,2055.7
Write,2023-6-29-09:07:22,2062.4
Read,2023-6-29-09:07:23,2055.7
Write,2023-6-29-09:07:23,2055.7
Read,2023-6-29-09:07:23,2056.2
Write,2023-6-29-09:07:23,2056.0
Read,2023-6-29-09:07:24,2056.0
Write,2023-6-29-09:07:24,2056.0
Read,2023-6-29-09:07:24,2055.6
Write,2023-6-29-09:07:24,2055.7
Read,2023-6-29-09:07:25,2055.8
Write,2023-6-29-09:07:25,2055.7
Read,2023-6-29-09:07:25,2055.6
Write,2023-6-29-09:07:25,2055.8
Read,2023-6-29-09:07:26,2055.9
Write,2023-6-29-09:07:26,2055.9
Read,2023-6-29-09:07:26,2055.8
Write,2023-6-29-09:07:26,2054.3
Read,2023-6-29-09:07:27,2054.7
Write,2023-6-29-09:07:27,2055.2
Read,2023-6-29-09:07:27,2056.6
Write,2023-6-29-09:07:27,2058.2
Read,2023-6-29-09:07:28,2055.8
Write,2023-6-29-09:07:28,2055.7
Read,2023-6-29-09:07:28,2056.2
Write,2023-6-29-09:07:28,2055.9
Read,2023-6-29-09:07:29,2056.0
Write,2023-6-29-09:07:29,2056.1
Read,2023-6-29-09:07:29,2056.3
Write,2023-6-29-09:07:29,2056.0
Read,2023-6-29-09:07:30,2055.5
Write,2023-6-29-09:07:30,2055.9
Read,2023-6-29-09:07:30,2056.0
Write,2023-6-29-09:07:30,2055.8
Read,2023-6-29-09:07:31,2056.3
Write,2023-6-29-09:07:31,2056.3
Read,2023-6-29-09:07:31,2055.5
Write,2023-6-29-09:07:31,2055.9
Read,2023-6-29-09:07:32,2051.9
Write,2023-6-29-09:07:32,2054.3
Read,2023-6-29-09:07:32,2056.1
Write,2023-6-29-09:07:32,2057.4
Read,2023-6-29-09:07:33,2056.0
Write,2023-6-29-09:07:33,2056.0
Read,2023-6-29-09:07:33,2056.2
Write,2023-6-29-09:07:33,2055.9
Read,2023-6-29-09:07:34,2055.8
Write,2023-6-29-09:07:34,2055.4
Read,2023-6-29-09:07:34,2055.7
Write,2023-6-29-09:07:34,2053.6
Read,2023-6-29-09:07:35,2055.9
Write,2023-6-29-09:07:35,2056.6
Read,2023-6-29-09:07:35,2055.6
Write,2023-6-29-09:07:35,2057.7
Read,2023-6-29-09:07:36,2055.9
Write,2023-6-29-09:07:36,2055.7
Read,2023-6-29-09:07:36,2056.4
Write,2023-6-29-09:07:36,2056.2
Read,2023-6-29-09:07:37,2055.8
Write,2023-6-29-09:07:37,2055.7
Read,2023-6-29-09:07:37,2055.7
Write,2023-6-29-09:07:37,2053.5
Read,2023-6-29-09:07:38,2056.3
Write,2023-6-29-09:07:38,2058.3
Read,2023-6-29-09:07:38,2056.0
Write,2023-6-29-09:07:38,2056.0
Read,2023-6-29-09:07:39,2055.6
Write,2023-6-29-09:07:39,2056.0
Read,2023-6-29-09:07:39,2049.9
Write,2023-6-29-09:07:39,2048.0
Read,2023-6-29-09:07:40,2061.8
Write,2023-6-29-09:07:40,2063.6
Read,2023-6-29-09:07:40,2055.9
Write,2023-6-29-09:07:40,2055.6
Read,2023-6-29-09:07:41,2056.2
Write,2023-6-29-09:07:41,2055.9
Read,2023-6-29-09:07:41,2055.9
Write,2023-6-29-09:07:41,2056.3
Read,2023-6-29-09:07:42,2056.0
Write,2023-6-29-09:07:42,2055.9
Read,2023-6-29-09:07:42,2056.3
Write,2023-6-29-09:07:42,2053.6
Read,2023-6-29-09:07:43,2055.3
Write,2023-6-29-09:07:43,2058.0
Read,2023-6-29-09:07:43,2055.8
Write,2023-6-29-09:07:43,2055.9
Read,2023-6-29-09:07:44,2056.4
Write,2023-6-29-09:07:44,2056.2
Read,2023-6-29-09:07:44,2050.2
Write,2023-6-29-09:07:44,2053.3
Read,2023-6-29-09:07:45,2061.1
Write,2023-6-29-09:07:45,2047.4
Read,2023-6-29-09:07:45,2055.9
Write,2023-6-29-09:07:45,2066.9
Read,2023-6-29-09:07:46,2055.3
Write,2023-6-29-09:07:46,2055.8
Read,2023-6-29-09:07:46,2056.9
Write,2023-6-29-09:07:46,2056.0
Read,2023-6-29-09:07:47,2054.4
Write,2023-6-29-09:07:47,2052.6
Read,2023-6-29-09:07:47,2057.2
Write,2023-6-29-09:07:47,2058.5
Read,2023-6-29-09:07:48,2055.7
Write,2023-6-29-09:07:48,2056.2
Read,2023-6-29-09:07:48,2055.5
Write,2023-6-29-09:07:48,2055.7
Read,2023-6-29-09:07:49,2056.6
Write,2023-6-29-09:07:49,2055.9
Read,2023-6-29-09:07:49,2051.8
Write,2023-6-29-09:07:49,2050.1
Read,2023-6-29-09:07:50,2060.0
Write,2023-6-29-09:07:50,2061.4
Read,2023-6-29-09:07:50,2054.9
Write,2023-6-29-09:07:50,2055.8
Read,2023-6-29-09:07:51,2056.8
Write,2023-6-29-09:07:51,2054.1
Read,2023-6-29-09:07:51,2055.9
Write,2023-6-29-09:07:51,2057.9
Read,2023-6-29-09:07:52,2055.0
Write,2023-6-29-09:07:52,2055.3
Read,2023-6-29-09:07:52,2053.8
Write,2023-6-29-09:07:52,2056.2
Read,2023-6-29-09:07:53,2058.3
Write,2023-6-29-09:07:53,2055.1
Read,2023-6-29-09:07:53,2055.3
Write,2023-6-29-09:07:53,2056.1
Read,2023-6-29-09:07:54,2056.2
Write,2023-6-29-09:07:54,2056.1
Read,2023-6-29-09:07:54,2054.7
Write,2023-6-29-09:07:54,2052.7
Read,2023-6-29-09:07:55,2057.1
Write,2023-6-29-09:07:55,2049.6
Read,2023-6-29-09:07:55,2055.7
Write,2023-6-29-09:07:55,2065.5
Read,2023-6-29-09:07:56,2055.8
Write,2023-6-29-09:07:56,2055.8
Read,2023-6-29-09:07:56,2056.2
Write,2023-6-29-09:07:56,2055.6
Read,2023-6-29-09:07:57,2055.8
Write,2023-6-29-09:07:57,2055.9
Read,2023-6-29-09:07:57,2055.2
Write,2023-6-29-09:07:57,2055.9
Read,2023-6-29-09:07:58,2055.4
Write,2023-6-29-09:07:58,2055.1
Read,2023-6-29-09:07:58,2056.2
Write,2023-6-29-09:07:58,2056.5
Read,2023-6-29-09:07:58,2055.4
Write,2023-6-29-09:07:58,2055.7
Read,2023-6-29-09:07:59,2056.1
Write,2023-6-29-09:07:59,2053.9
Read,2023-6-29-09:07:59,2055.7
Write,2023-6-29-09:07:59,2057.7
Read,2023-6-29-09:08:00,2055.8
Write,2023-6-29-09:08:00,2053.9
Read,2023-6-29-09:08:00,2055.4
Write,2023-6-29-09:08:00,2057.5
Read,2023-6-29-09:08:01,2055.6
Write,2023-6-29-09:08:01,2055.9
Read,2023-6-29-09:08:01,2055.9
Write,2023-6-29-09:08:01,2055.9
Read,2023-6-29-09:08:02,2031.8
Write,2023-6-29-09:08:02,2030.1
Read,2023-6-29-09:08:02,2080.9
Write,2023-6-29-09:08:02,2080.6
Read,2023-6-29-09:08:03,2055.1
Write,2023-6-29-09:08:03,2057.3
Read,2023-6-29-09:08:03,2056.4
Write,2023-6-29-09:08:03,2055.1
Read,2023-6-29-09:08:04,2037.6
Write,2023-6-29-09:08:04,2036.9
Read,2023-6-29-09:08:04,2073.8
Write,2023-6-29-09:08:04,2072.7
Read,2023-6-29-09:08:05,2054.9
Write,2023-6-29-09:08:05,2057.6
Read,2023-6-29-09:08:05,2056.3
Write,2023-6-29-09:08:05,2056.7
Read,2023-6-29-09:08:06,2055.5
Write,2023-6-29-09:08:06,2055.5
Read,2023-6-29-09:08:06,2056.7
Write,2023-6-29-09:08:06,2056.2
Read,2023-6-29-09:08:07,2055.8
Write,2023-6-29-09:08:07,2055.6
Read,2023-6-29-09:08:07,2055.6
Write,2023-6-29-09:08:07,2055.8
Read,2023-6-29-09:08:08,2055.6
Write,2023-6-29-09:08:08,2055.9
Read,2023-6-29-09:08:08,2056.2
Write,2023-6-29-09:08:08,2056.2
Read,2023-6-29-09:08:09,2055.6
Write,2023-6-29-09:08:09,2055.8
Read,2023-6-29-09:08:09,2056.5
Write,2023-6-29-09:08:09,2055.8
Read,2023-6-29-09:08:10,2055.5
Write,2023-6-29-09:08:10,2055.2
Read,2023-6-29-09:08:10,2055.9
Write,2023-6-29-09:08:10,2056.6
Read,2023-6-29-09:08:11,2055.2
Write,2023-6-29-09:08:11,2055.5
Read,2023-6-29-09:08:11,2056.8
Write,2023-6-29-09:08:11,2056.1
Read,2023-6-29-09:08:12,2034.4
Write,2023-6-29-09:08:12,2037.6
Read,2023-6-29-09:08:12,2077.9
Write,2023-6-29-09:08:12,2074.5
Write,2023-6-29-09:08:13,2047.5
Read,2023-6-29-09:08:13,2043.7
Read,2023-6-29-09:08:13,2067.6
Write,2023-6-29-09:08:13,2064.0
Read,2023-6-29-09:08:14,2055.9
Write,2023-6-29-09:08:14,2053.8
Read,2023-6-29-09:08:14,2056.1
Write,2023-6-29-09:08:14,2057.9
Read,2023-6-29-09:08:15,2055.6
Write,2023-6-29-09:08:15,2054.3
Read,2023-6-29-09:08:15,2055.9
Write,2023-6-29-09:08:15,2057.0
Read,2023-6-29-09:08:16,2054.9
Write,2023-6-29-09:08:16,2055.3
Read,2023-6-29-09:08:16,2055.9
Write,2023-6-29-09:08:16,2056.0
Read,2023-6-29-09:08:17,2056.1
Write,2023-6-29-09:08:17,2055.9
Read,2023-6-29-09:08:17,2056.1
Write,2023-6-29-09:08:17,2055.8
Read,2023-6-29-09:08:18,2055.5
Write,2023-6-29-09:08:18,2055.6
Read,2023-6-29-09:08:18,2055.3
Write,2023-6-29-09:08:18,2056.0
Read,2023-6-29-09:08:19,2056.2
Write,2023-6-29-09:08:19,2056.0
Read,2023-6-29-09:08:19,2055.7
Write,2023-6-29-09:08:19,2053.3
Read,2023-6-29-09:08:20,2056.1
Write,2023-6-29-09:08:20,2056.8
Read,2023-6-29-09:08:20,2056.4
Write,2023-6-29-09:08:20,2057.5
Read,2023-6-29-09:08:21,2055.3
Write,2023-6-29-09:08:21,2056.0
Read,2023-6-29-09:08:21,2056.2
Write,2023-6-29-09:08:21,2055.9
Read,2023-6-29-09:08:22,2055.4
Write,2023-6-29-09:08:22,2055.7
Read,2023-6-29-09:08:22,2053.8
Write,2023-6-29-09:08:22,2051.6
Read,2023-6-29-09:08:23,2055.6
Write,2023-6-29-09:08:23,2057.7
Read,2023-6-29-09:08:23,2055.6
Write,2023-6-29-09:08:23,2058.0
Read,2023-6-29-09:08:24,2056.1
Write,2023-6-29-09:08:24,2055.7
Read,2023-6-29-09:08:24,2055.9
Write,2023-6-29-09:08:24,2055.8
Read,2023-6-29-09:08:25,2053.6
Write,2023-6-29-09:08:25,2052.1
Read,2023-6-29-09:08:25,2057.5
Write,2023-6-29-09:08:25,2054.6
Read,2023-6-29-09:08:26,2055.8
Write,2023-6-29-09:08:26,2058.6
Read,2023-6-29-09:08:26,2055.6
Write,2023-6-29-09:08:26,2055.7
Read,2023-6-29-09:08:27,2056.3
Write,2023-6-29-09:08:27,2054.8
Read,2023-6-29-09:08:27,2055.7
Write,2023-6-29-09:08:27,2057.0
Read,2023-6-29-09:08:28,2055.4
Write,2023-6-29-09:08:28,2055.9
Read,2023-6-29-09:08:28,2055.9
Write,2023-6-29-09:08:28,2055.6
Read,2023-6-29-09:08:29,2055.3
Write,2023-6-29-09:08:29,2055.9
Read,2023-6-29-09:08:29,2057.0
Write,2023-6-29-09:08:29,2054.6
Read,2023-6-29-09:08:30,2055.8
Write,2023-6-29-09:08:30,2057.3
Read,2023-6-29-09:08:30,2055.4
Write,2023-6-29-09:08:30,2054.4
Read,2023-6-29-09:08:31,2055.8
Write,2023-6-29-09:08:31,2056.7
Read,2023-6-29-09:08:31,2056.3
Write,2023-6-29-09:08:31,2056.1
Read,2023-6-29-09:08:32,2056.0
Write,2023-6-29-09:08:32,2055.6
Read,2023-6-29-09:08:32,2055.6
Write,2023-6-29-09:08:32,2054.5
Read,2023-6-29-09:08:33,2056.1
Write,2023-6-29-09:08:33,2057.6
Read,2023-6-29-09:08:33,2055.2
Write,2023-6-29-09:08:33,2055.6
Read,2023-6-29-09:08:34,2055.6
Write,2023-6-29-09:08:34,2055.8
Read,2023-6-29-09:08:34,2056.0
Write,2023-6-29-09:08:34,2055.7
Read,2023-6-29-09:08:35,2056.0
Write,2023-6-29-09:08:35,2055.7
Read,2023-6-29-09:08:35,2055.4
Write,2023-6-29-09:08:35,2049.6
Read,2023-6-29-09:08:36,2056.3
Write,2023-6-29-09:08:36,2062.5
Read,2023-6-29-09:08:36,2055.1
Write,2023-6-29-09:08:36,2055.6
Read,2023-6-29-09:08:37,2056.6
Write,2023-6-29-09:08:37,2056.0
Read,2023-6-29-09:08:37,2055.2
Write,2023-6-29-09:08:37,2055.8
Read,2023-6-29-09:08:38,2055.9
Write,2023-6-29-09:08:38,2049.3
Read,2023-6-29-09:08:38,2055.6
Write,2023-6-29-09:08:38,2061.9
Read,2023-6-29-09:08:39,2055.9
Write,2023-6-29-09:08:39,2055.9
Read,2023-6-29-09:08:39,2055.8
Write,2023-6-29-09:08:39,2054.1
Read,2023-6-29-09:08:40,2056.2
Write,2023-6-29-09:08:40,2056.5
Read,2023-6-29-09:08:40,2055.6
Write,2023-6-29-09:08:40,2055.9
Read,2023-6-29-09:08:41,2055.9
Write,2023-6-29-09:08:41,2057.1
Read,2023-6-29-09:08:41,2055.8
Write,2023-6-29-09:08:41,2055.8
Read,2023-6-29-09:08:42,2056.0
Write,2023-6-29-09:08:42,2055.9
Read,2023-6-29-09:08:42,2056.2
Write,2023-6-29-09:08:42,2054.5
Read,2023-6-29-09:08:43,2055.9
Write,2023-6-29-09:08:43,2057.3
Read,2023-6-29-09:08:43,2055.7
Write,2023-6-29-09:08:43,2056.0
Read,2023-6-29-09:08:44,2055.6
Write,2023-6-29-09:08:44,2055.5
Read,2023-6-29-09:08:44,2056.3
Write,2023-6-29-09:08:44,2056.0
Read,2023-6-29-09:08:45,2055.5
Write,2023-6-29-09:08:45,2055.9
Read,2023-6-29-09:08:45,2056.5
Write,2023-6-29-09:08:45,2055.4
Read,2023-6-29-09:08:46,2055.6
Write,2023-6-29-09:08:46,2056.5
Read,2023-6-29-09:08:46,2055.5
Write,2023-6-29-09:08:46,2055.9
Read,2023-6-29-09:08:47,2056.0
Write,2023-6-29-09:08:47,2056.0
Read,2023-6-29-09:08:47,2055.9
Write,2023-6-29-09:08:47,2055.8
Read,2023-6-29-09:08:48,2056.2
Write,2023-6-29-09:08:48,2055.8
Read,2023-6-29-09:08:48,2055.4
Write,2023-6-29-09:08:48,2053.7
Read,2023-6-29-09:08:49,2055.5
Write,2023-6-29-09:08:49,2057.7
Read,2023-6-29-09:08:49,2056.0
Write,2023-6-29-09:08:49,2056.0
Read,2023-6-29-09:08:50,2055.9
Write,2023-6-29-09:08:50,2053.8
Read,2023-6-29-09:08:50,2056.0
Write,2023-6-29-09:08:50,2057.7
Read,2023-6-29-09:08:51,2055.2
Write,2023-6-29-09:08:51,2054.4
Read,2023-6-29-09:08:51,2055.6
Write,2023-6-29-09:08:51,2056.9
Read,2023-6-29-09:08:52,2055.5
Write,2023-6-29-09:08:52,2055.7
Read,2023-6-29-09:08:52,2056.0
Write,2023-6-29-09:08:52,2056.2
Read,2023-6-29-09:08:53,2055.7
Write,2023-6-29-09:08:53,2053.3
Read,2023-6-29-09:08:53,2050.9
Write,2023-6-29-09:08:53,2055.8
Read,2023-6-29-09:08:54,2056.1
Write,2023-6-29-09:08:54,2058.3
Read,2023-6-29-09:08:54,2055.8
Write,2023-6-29-09:08:54,2055.9
Read,2023-6-29-09:08:55,2055.1
Write,2023-6-29-09:08:55,2055.7
Read,2023-6-29-09:08:55,2055.9
Write,2023-6-29-09:08:55,2054.4
Read,2023-6-29-09:08:56,2056.2
Write,2023-6-29-09:08:56,2057.2
Read,2023-6-29-09:08:56,2055.9
Write,2023-6-29-09:08:56,2056.0
Read,2023-6-29-09:08:57,2055.9
Write,2023-6-29-09:08:57,2056.0
Read,2023-6-29-09:08:57,2055.8
Write,2023-6-29-09:08:57,2054.0
Read,2023-6-29-09:08:58,2056.1
Write,2023-6-29-09:08:58,2056.1
Read,2023-6-29-09:08:58,2055.9
Write,2023-6-29-09:08:58,2057.2
Read,2023-6-29-09:08:59,2055.4
Write,2023-6-29-09:08:59,2055.9
Read,2023-6-29-09:08:59,2055.8
Write,2023-6-29-09:08:59,2056.0
Read,2023-6-29-09:09:00,2055.7
Write,2023-6-29-09:09:00,2055.8
Read,2023-6-29-09:09:00,2055.9
Write,2023-6-29-09:09:00,2055.7
Read,2023-6-29-09:09:01,2054.6
Write,2023-6-29-09:09:01,2050.8
Read,2023-6-29-09:09:01,2057.6
Write,2023-6-29-09:09:01,2061.5
Read,2023-6-29-09:09:02,2042.5
Write,2023-6-29-09:09:02,2041.3
Read,2023-6-29-09:09:02,2070.0
Write,2023-6-29-09:09:02,2070.8
Read,2023-6-29-09:09:03,2055.9
Write,2023-6-29-09:09:03,2054.2
Read,2023-6-29-09:09:03,2055.6
Write,2023-6-29-09:09:03,2055.4
Read,2023-6-29-09:09:04,2055.2
Write,2023-6-29-09:09:04,2057.2
Read,2023-6-29-09:09:04,2056.5
Write,2023-6-29-09:09:04,2056.3
Read,2023-6-29-09:09:05,2055.9
Write,2023-6-29-09:09:05,2055.8
Read,2023-6-29-09:09:05,2055.8
Write,2023-6-29-09:09:05,2054.2
Read,2023-6-29-09:09:06,2055.8
Write,2023-6-29-09:09:06,2052.2
Read,2023-6-29-09:09:06,2055.4
Write,2023-6-29-09:09:06,2061.2
Read,2023-6-29-09:09:07,2055.7
Write,2023-6-29-09:09:07,2055.9
Read,2023-6-29-09:09:07,2056.0
Write,2023-6-29-09:09:07,2055.9
Read,2023-6-29-09:09:08,2055.5
Write,2023-6-29-09:09:08,2055.7
Read,2023-6-29-09:09:08,2056.3
Write,2023-6-29-09:09:08,2055.8
Read,2023-6-29-09:09:09,2056.0
Write,2023-6-29-09:09:09,2055.8
Read,2023-6-29-09:09:09,2055.9
Write,2023-6-29-09:09:09,2055.8
Read,2023-6-29-09:09:10,2056.3
Write,2023-6-29-09:09:10,2055.6
Read,2023-6-29-09:09:10,2055.9
Write,2023-6-29-09:09:10,2056.2
Read,2023-6-29-09:09:11,2056.1
Write,2023-6-29-09:09:11,2054.1
Read,2023-6-29-09:09:11,2056.0
Write,2023-6-29-09:09:11,2056.2
Read,2023-6-29-09:09:12,2055.2
Write,2023-6-29-09:09:12,2057.3
Read,2023-6-29-09:09:12,2056.3
Write,2023-6-29-09:09:12,2056.0
Read,2023-6-29-09:09:13,2056.8
Write,2023-6-29-09:09:13,2055.1
Read,2023-6-29-09:09:13,2055.5
Write,2023-6-29-09:09:13,2057.4
Read,2023-6-29-09:09:14,2055.9
Write,2023-6-29-09:09:14,2056.0
Read,2023-6-29-09:09:14,2056.0
Write,2023-6-29-09:09:14,2056.0
Read,2023-6-29-09:09:15,2056.1
Write,2023-6-29-09:09:15,2055.9
Read,2023-6-29-09:09:15,2055.7
Write,2023-6-29-09:09:15,2055.7
Read,2023-6-29-09:09:16,2056.0
Write,2023-6-29-09:09:16,2051.5
Read,2023-6-29-09:09:16,2056.0
Write,2023-6-29-09:09:16,2060.5
Read,2023-6-29-09:09:17,2055.1
Write,2023-6-29-09:09:17,2055.6
Read,2023-6-29-09:09:17,2056.7
Write,2023-6-29-09:09:17,2056.2
Read,2023-6-29-09:09:18,2056.0
Write,2023-6-29-09:09:18,2040.4
Read,2023-6-29-09:09:18,2055.7
Write,2023-6-29-09:09:18,2071.7
Read,2023-6-29-09:09:19,2056.1
Write,2023-6-29-09:09:19,2054.9
Read,2023-6-29-09:09:19,2055.4
Write,2023-6-29-09:09:19,2056.8
Read,2023-6-29-09:09:20,2055.6
Write,2023-6-29-09:09:20,2055.8
Read,2023-6-29-09:09:20,2056.0
Write,2023-6-29-09:09:20,2055.2
Read,2023-6-29-09:09:21,2056.3
Write,2023-6-29-09:09:21,2056.2
Read,2023-6-29-09:09:21,2055.5
Write,2023-6-29-09:09:21,2054.9
Read,2023-6-29-09:09:22,2055.8
Write,2023-6-29-09:09:22,2057.1
Read,2023-6-29-09:09:22,2055.9
Write,2023-6-29-09:09:22,2055.9
Read,2023-6-29-09:09:23,2056.4
Write,2023-6-29-09:09:23,2055.8
Read,2023-6-29-09:09:23,2055.7
Write,2023-6-29-09:09:23,2053.6
Read,2023-6-29-09:09:24,2055.5
Write,2023-6-29-09:09:24,2056.8
Read,2023-6-29-09:09:24,2055.7
Write,2023-6-29-09:09:24,2057.0
Read,2023-6-29-09:09:25,2055.9
Write,2023-6-29-09:09:25,2056.0
Read,2023-6-29-09:09:25,2056.4
Write,2023-6-29-09:09:25,2055.0
Read,2023-6-29-09:09:26,2055.5
Write,2023-6-29-09:09:26,2056.4
Read,2023-6-29-09:09:26,2055.9
Write,2023-6-29-09:09:26,2055.8
Read,2023-6-29-09:09:27,2055.6
Write,2023-6-29-09:09:27,2055.8
Read,2023-6-29-09:09:27,2055.7
Write,2023-6-29-09:09:27,2055.9
Read,2023-6-29-09:09:28,2056.0
Write,2023-6-29-09:09:28,2054.6
Read,2023-6-29-09:09:28,2055.7
Write,2023-6-29-09:09:28,2056.9
Read,2023-6-29-09:09:29,2055.5
Write,2023-6-29-09:09:29,2054.9
Read,2023-6-29-09:09:29,2055.5
Write,2023-6-29-09:09:29,2056.2
Read,2023-6-29-09:09:30,2056.5
Write,2023-6-29-09:09:30,2056.1
Read,2023-6-29-09:09:30,2055.5
Write,2023-6-29-09:09:30,2055.5
Read,2023-6-29-09:09:31,2056.3
Write,2023-6-29-09:09:31,2055.4
Read,2023-6-29-09:09:31,2055.5
Write,2023-6-29-09:09:31,2056.7
Read,2023-6-29-09:09:32,2055.6
Write,2023-6-29-09:09:32,2055.7
Read,2023-6-29-09:09:32,2056.4
Write,2023-6-29-09:09:32,2055.8
Read,2023-6-29-09:09:33,2055.7
Write,2023-6-29-09:09:33,2055.2
Read,2023-6-29-09:09:33,2055.6
Write,2023-6-29-09:09:33,2056.4
Read,2023-6-29-09:09:34,2055.9
Write,2023-6-29-09:09:34,2051.1
Read,2023-6-29-09:09:34,2055.1
