,Direction,time,Rate
48,Read,2023-6-29-09:07:01,2055.3
49,Write,2023-6-29-09:07:01,2055.8
50,Read,2023-6-29-09:07:01,2056.1
51,Write,2023-6-29-09:07:01,2049.2
52,Read,2023-6-29-09:07:02,2055.3
53,Write,2023-6-29-09:07:02,2054.6
54,Read,2023-6-29-09:07:02,2055.7
55,Write,2023-6-29-09:07:02,2063.6
56,Read,2023-6-29-09:07:03,2056.2
57,Write,2023-6-29-09:07:03,2055.8
58,Read,2023-6-29-09:07:03,2056.2
59,Write,2023-6-29-09:07:03,2054.8
60,Read,2023-6-29-09:07:04,2055.7
61,Write,2023-6-29-09:07:04,2054.7
62,Read,2023-6-29-09:07:04,2056.1
63,Write,2023-6-29-09:07:04,2056.7
64,Read,2023-6-29-09:07:05,2055.1
65,Write,2023-6-29-09:07:05,2057.6
66,Read,2023-6-29-09:07:05,2055.9
67,Write,2023-6-29-09:07:05,2055.8
68,Read,2023-6-29-09:07:06,2040.6
69,Write,2023-6-29-09:07:06,2043.4
70,Read,2023-6-29-09:07:06,2072.0
71,Write,2023-6-29-09:07:06,2068.3
72,Read,2023-6-29-09:07:07,2055.5
73,Write,2023-6-29-09:07:07,2053.8
74,Read,2023-6-29-09:07:07,2055.9
75,Write,2023-6-29-09:07:07,2057.7
76,Read,2023-6-29-09:07:08,2055.1
77,Write,2023-6-29-09:07:08,2055.7
78,Read,2023-6-29-09:07:08,2056.2
79,Write,2023-6-29-09:07:08,2055.8
80,Read,2023-6-29-09:07:09,2050.6
81,Write,2023-6-29-09:07:09,2048.9
82,Read,2023-6-29-09:07:09,2060.7
83,Write,2023-6-29-09:07:09,2061.6
84,Read,2023-6-29-09:07:10,2055.6
85,Write,2023-6-29-09:07:10,2056.8
86,Read,2023-6-29-09:07:10,2055.7
87,Write,2023-6-29-09:07:10,2055.9
88,Read,2023-6-29-09:07:11,2056.6
89,Write,2023-6-29-09:07:11,2055.8
90,Read,2023-6-29-09:07:11,2055.9
91,Write,2023-6-29-09:07:11,2056.1
92,Read,2023-6-29-09:07:12,2055.0
93,Write,2023-6-29-09:07:12,2055.2
94,Read,2023-6-29-09:07:12,2056.1
95,Write,2023-6-29-09:07:12,2056.4
96,Read,2023-6-29-09:07:13,2055.6
97,Write,2023-6-29-09:07:13,2055.8
98,Read,2023-6-29-09:07:13,2056.8
99,Write,2023-6-29-09:07:13,2056.2
100,Read,2023-6-29-09:07:14,2055.8
101,Write,2023-6-29-09:07:14,2055.0
102,Read,2023-6-29-09:07:14,2055.5
103,Write,2023-6-29-09:07:14,2056.6
104,Read,2023-6-29-09:07:15,2055.5
105,Write,2023-6-29-09:07:15,2055.8
106,Read,2023-6-29-09:07:15,2056.5
107,Write,2023-6-29-09:07:15,2056.0
108,Read,2023-6-29-09:07:16,2055.8
109,Write,2023-6-29-09:07:16,2055.7
110,Read,2023-6-29-09:07:16,2055.9
111,Write,2023-6-29-09:07:16,2055.8
112,Read,2023-6-29-09:07:17,2055.7
113,Write,2023-6-29-09:07:17,2055.0
114,Read,2023-6-29-09:07:17,2055.1
115,Write,2023-6-29-09:07:17,2056.5
116,Read,2023-6-29-09:07:18,2055.9
117,Write,2023-6-29-09:07:18,2055.9
118,Read,2023-6-29-09:07:18,2056.6
119,Write,2023-6-29-09:07:18,2056.0
120,Read,2023-6-29-09:07:19,2052.7
121,Write,2023-6-29-09:07:19,2051.3
122,Read,2023-6-29-09:07:19,2059.1
123,Write,2023-6-29-09:07:19,2058.2
124,Read,2023-6-29-09:07:20,2055.2
125,Write,2023-6-29-09:07:20,2058.0
126,Read,2023-6-29-09:07:20,2056.4
127,Write,2023-6-29-09:07:20,2056.0
128,Read,2023-6-29-09:07:21,2055.8
129,Write,2023-6-29-09:07:21,2055.7
130,Read,2023-6-29-09:07:21,2056.1
131,Write,2023-6-29-09:07:21,2056.1
132,Read,2023-6-29-09:07:22,2056.0
133,Write,2023-6-29-09:07:22,2049.4
134,Read,2023-6-29-09:07:22,2055.7
135,Write,2023-6-29-09:07:22,2062.4
136,Read,2023-6-29-09:07:23,2055.7
137,Write,2023-6-29-09:07:23,2055.7
138,Read,2023-6-29-09:07:23,2056.2
139,Write,2023-6-29-09:07:23,2056.0
140,Read,2023-6-29-09:07:24,2056.0
141,Write,2023-6-29-09:07:24,2056.0
142,Read,2023-6-29-09:07:24,2055.6
143,Write,2023-6-29-09:07:24,2055.7
144,Read,2023-6-29-09:07:25,2055.8
145,Write,2023-6-29-09:07:25,2055.7
146,Read,2023-6-29-09:07:25,2055.6
147,Write,2023-6-29-09:07:25,2055.8
148,Read,2023-6-29-09:07:26,2055.9
149,Write,2023-6-29-09:07:26,2055.9
150,Read,2023-6-29-09:07:26,2055.8
151,Write,2023-6-29-09:07:26,2054.3
152,Read,2023-6-29-09:07:27,2054.7
153,Write,2023-6-29-09:07:27,2055.2
154,Read,2023-6-29-09:07:27,2056.6
155,Write,2023-6-29-09:07:27,2058.2
156,Read,2023-6-29-09:07:28,2055.8
157,Write,2023-6-29-09:07:28,2055.7
158,Read,2023-6-29-09:07:28,2056.2
159,Write,2023-6-29-09:07:28,2055.9
160,Read,2023-6-29-09:07:29,2056.0
161,Write,2023-6-29-09:07:29,2056.1
162,Read,2023-6-29-09:07:29,2056.3
163,Write,2023-6-29-09:07:29,2056.0
164,Read,2023-6-29-09:07:30,2055.5
165,Write,2023-6-29-09:07:30,2055.9
166,Read,2023-6-29-09:07:30,2056.0
167,Write,2023-6-29-09:07:30,2055.8
168,Read,2023-6-29-09:07:31,2056.3
169,Write,2023-6-29-09:07:31,2056.3
170,Read,2023-6-29-09:07:31,2055.5
171,Write,2023-6-29-09:07:31,2055.9
172,Read,2023-6-29-09:07:32,2051.9
173,Write,2023-6-29-09:07:32,2054.3
174,Read,2023-6-29-09:07:32,2056.1
175,Write,2023-6-29-09:07:32,2057.4
176,Read,2023-6-29-09:07:33,2056.0
177,Write,2023-6-29-09:07:33,2056.0
178,Read,2023-6-29-09:07:33,2056.2
179,Write,2023-6-29-09:07:33,2055.9
180,Read,2023-6-29-09:07:34,2055.8
181,Write,2023-6-29-09:07:34,2055.4
182,Read,2023-6-29-09:07:34,2055.7
183,Write,2023-6-29-09:07:34,2053.6
184,Read,2023-6-29-09:07:35,2055.9
185,Write,2023-6-29-09:07:35,2056.6
186,Read,2023-6-29-09:07:35,2055.6
187,Write,2023-6-29-09:07:35,2057.7
188,Read,2023-6-29-09:07:36,2055.9
189,Write,2023-6-29-09:07:36,2055.7
190,Read,2023-6-29-09:07:36,2056.4
191,Write,2023-6-29-09:07:36,2056.2
192,Read,2023-6-29-09:07:37,2055.8
193,Write,2023-6-29-09:07:37,2055.7
194,Read,2023-6-29-09:07:37,2055.7
195,Write,2023-6-29-09:07:37,2053.5
196,Read,2023-6-29-09:07:38,2056.3
197,Write,2023-6-29-09:07:38,2058.3
198,Read,2023-6-29-09:07:38,2056.0
199,Write,2023-6-29-09:07:38,2056.0
200,Read,2023-6-29-09:07:39,2055.6
201,Write,2023-6-29-09:07:39,2056.0
202,Read,2023-6-29-09:07:39,2049.9
203,Write,2023-6-29-09:07:39,2048.0
204,Read,2023-6-29-09:07:40,2061.8
205,Write,2023-6-29-09:07:40,2063.6
206,Read,2023-6-29-09:07:40,2055.9
207,Write,2023-6-29-09:07:40,2055.6
208,Read,2023-6-29-09:07:41,2056.2
209,Write,2023-6-29-09:07:41,2055.9
210,Read,2023-6-29-09:07:41,2055.9
211,Write,2023-6-29-09:07:41,2056.3
212,Read,2023-6-29-09:07:42,2056.0
213,Write,2023-6-29-09:07:42,2055.9
214,Read,2023-6-29-09:07:42,2056.3
215,Write,2023-6-29-09:07:42,2053.6
216,Read,2023-6-29-09:07:43,2055.3
217,Write,2023-6-29-09:07:43,2058.0
218,Read,2023-6-29-09:07:43,2055.8
219,Write,2023-6-29-09:07:43,2055.9
220,Read,2023-6-29-09:07:44,2056.4
221,Write,2023-6-29-09:07:44,2056.2
222,Read,2023-6-29-09:07:44,2050.2
223,Write,2023-6-29-09:07:44,2053.3
224,Read,2023-6-29-09:07:45,2061.1
225,Write,2023-6-29-09:07:45,2047.4
226,Read,2023-6-29-09:07:45,2055.9
227,Write,2023-6-29-09:07:45,2066.9
228,Read,2023-6-29-09:07:46,2055.3
229,Write,2023-6-29-09:07:46,2055.8
230,Read,2023-6-29-09:07:46,2056.9
231,Write,2023-6-29-09:07:46,2056.0
232,Read,2023-6-29-09:07:47,2054.4
233,Write,2023-6-29-09:07:47,2052.6
234,Read,2023-6-29-09:07:47,2057.2
235,Write,2023-6-29-09:07:47,2058.5
236,Read,2023-6-29-09:07:48,2055.7
237,Write,2023-6-29-09:07:48,2056.2
238,Read,2023-6-29-09:07:48,2055.5
239,Write,2023-6-29-09:07:48,2055.7
240,Read,2023-6-29-09:07:49,2056.6
241,Write,2023-6-29-09:07:49,2055.9
242,Read,2023-6-29-09:07:49,2051.8
243,Write,2023-6-29-09:07:49,2050.1
244,Read,2023-6-29-09:07:50,2060.0
245,Write,2023-6-29-09:07:50,2061.4
246,Read,2023-6-29-09:07:50,2054.9
247,Write,2023-6-29-09:07:50,2055.8
248,Read,2023-6-29-09:07:51,2056.8
249,Write,2023-6-29-09:07:51,2054.1
250,Read,2023-6-29-09:07:51,2055.9
251,Write,2023-6-29-09:07:51,2057.9
252,Read,2023-6-29-09:07:52,2055.0
253,Write,2023-6-29-09:07:52,2055.3
254,Read,2023-6-29-09:07:52,2053.8
255,Write,2023-6-29-09:07:52,2056.2
256,Read,2023-6-29-09:07:53,2058.3
257,Write,2023-6-29-09:07:53,2055.1
258,Read,2023-6-29-09:07:53,2055.3
259,Write,2023-6-29-09:07:53,2056.1
260,Read,2023-6-29-09:07:54,2056.2
261,Write,2023-6-29-09:07:54,2056.1
262,Read,2023-6-29-09:07:54,2054.7
263,Write,2023-6-29-09:07:54,2052.7
264,Read,2023-6-29-09:07:55,2057.1
265,Write,2023-6-29-09:07:55,2049.6
266,Read,2023-6-29-09:07:55,2055.7
267,Write,2023-6-29-09:07:55,2065.5
268,Read,2023-6-29-09:07:56,2055.8
269,Write,2023-6-29-09:07:56,2055.8
270,Read,2023-6-29-09:07:56,2056.2
271,Write,2023-6-29-09:07:56,2055.6
272,Read,2023-6-29-09:07:57,2055.8
273,Write,2023-6-29-09:07:57,2055.9
274,Read,2023-6-29-09:07:57,2055.2
275,Write,2023-6-29-09:07:57,2055.9
276,Read,2023-6-29-09:07:58,2055.4
277,Write,2023-6-29-09:07:58,2055.1
278,Read,2023-6-29-09:07:58,2056.2
279,Write,2023-6-29-09:07:58,2056.5
280,Read,2023-6-29-09:07:58,2055.4
281,Write,2023-6-29-09:07:58,2055.7
282,Read,2023-6-29-09:07:59,2056.1
283,Write,2023-6-29-09:07:59,2053.9
284,Read,2023-6-29-09:07:59,2055.7
285,Write,2023-6-29-09:07:59,2057.7
286,Read,2023-6-29-09:08:00,2055.8
287,Write,2023-6-29-09:08:00,2053.9
288,Read,2023-6-29-09:08:00,2055.4
289,Write,2023-6-29-09:08:00,2057.5
290,Read,2023-6-29-09:08:01,2055.6
291,Write,2023-6-29-09:08:01,2055.9
292,Read,2023-6-29-09:08:01,2055.9
293,Write,2023-6-29-09:08:01,2055.9
294,Read,2023-6-29-09:08:02,2031.8
295,Write,2023-6-29-09:08:02,2030.1
296,Read,2023-6-29-09:08:02,2080.9
297,Write,2023-6-29-09:08:02,2080.6
298,Read,2023-6-29-09:08:03,2055.1
299,Write,2023-6-29-09:08:03,2057.3
300,Read,2023-6-29-09:08:03,2056.4
301,Write,2023-6-29-09:08:03,2055.1
302,Read,2023-6-29-09:08:04,2037.6
303,Write,2023-6-29-09:08:04,2036.9
304,Read,2023-6-29-09:08:04,2073.8
305,Write,2023-6-29-09:08:04,2072.7
306,Read,2023-6-29-09:08:05,2054.9
307,Write,2023-6-29-09:08:05,2057.6
308,Read,2023-6-29-09:08:05,2056.3
309,Write,2023-6-29-09:08:05,2056.7
310,Read,2023-6-29-09:08:06,2055.5
311,Write,2023-6-29-09:08:06,2055.5
312,Read,2023-6-29-09:08:06,2056.7
313,Write,2023-6-29-09:08:06,2056.2
314,Read,2023-6-29-09:08:07,2055.8
315,Write,2023-6-29-09:08:07,2055.6
316,Read,2023-6-29-09:08:07,2055.6
317,Write,2023-6-29-09:08:07,2055.8
318,Read,2023-6-29-09:08:08,2055.6
319,Write,2023-6-29-09:08:08,2055.9
320,Read,2023-6-29-09:08:08,2056.2
321,Write,2023-6-29-09:08:08,2056.2
322,Read,2023-6-29-09:08:09,2055.6
323,Write,2023-6-29-09:08:09,2055.8
324,Read,2023-6-29-09:08:09,2056.5
325,Write,2023-6-29-09:08:09,2055.8
326,Read,2023-6-29-09:08:10,2055.5
327,Write,2023-6-29-09:08:10,2055.2
328,Read,2023-6-29-09:08:10,2055.9
329,Write,2023-6-29-09:08:10,2056.6
330,Read,2023-6-29-09:08:11,2055.2
331,Write,2023-6-29-09:08:11,2055.5
332,Read,2023-6-29-09:08:11,2056.8
333,Write,2023-6-29-09:08:11,2056.1
334,Read,2023-6-29-09:08:12,2034.4
335,Write,2023-6-29-09:08:12,2037.6
336,Read,2023-6-29-09:08:12,2077.9
337,Write,2023-6-29-09:08:12,2074.5
338,Write,2023-6-29-09:08:13,2047.5
339,Read,2023-6-29-09:08:13,2043.7
340,Read,2023-6-29-09:08:13,2067.6
341,Write,2023-6-29-09:08:13,2064.0
342,Read,2023-6-29-09:08:14,2055.9
343,Write,2023-6-29-09:08:14,2053.8
344,Read,2023-6-29-09:08:14,2056.1
345,Write,2023-6-29-09:08:14,2057.9
346,Read,2023-6-29-09:08:15,2055.6
347,Write,2023-6-29-09:08:15,2054.3
348,Read,2023-6-29-09:08:15,2055.9
349,Write,2023-6-29-09:08:15,2057.0
350,Read,2023-6-29-09:08:16,2054.9
351,Write,2023-6-29-09:08:16,2055.3
352,Read,2023-6-29-09:08:16,2055.9
353,Write,2023-6-29-09:08:16,2056.0
354,Read,2023-6-29-09:08:17,2056.1
355,Write,2023-6-29-09:08:17,2055.9
356,Read,2023-6-29-09:08:17,2056.1
357,Write,2023-6-29-09:08:17,2055.8
358,Read,2023-6-29-09:08:18,2055.5
359,Write,2023-6-29-09:08:18,2055.6
360,Read,2023-6-29-09:08:18,2055.3
361,Write,2023-6-29-09:08:18,2056.0
362,Read,2023-6-29-09:08:19,2056.2
363,Write,2023-6-29-09:08:19,2056.0
364,Read,2023-6-29-09:08:19,2055.7
365,Write,2023-6-29-09:08:19,2053.3
366,Read,2023-6-29-09:08:20,2056.1
367,Write,2023-6-29-09:08:20,2056.8
368,Read,2023-6-29-09:08:20,2056.4
369,Write,2023-6-29-09:08:20,2057.5
370,Read,2023-6-29-09:08:21,2055.3
371,Write,2023-6-29-09:08:21,2056.0
372,Read,2023-6-29-09:08:21,2056.2
373,Write,2023-6-29-09:08:21,2055.9
374,Read,2023-6-29-09:08:22,2055.4
375,Write,2023-6-29-09:08:22,2055.7
376,Read,2023-6-29-09:08:22,2053.8
377,Write,2023-6-29-09:08:22,2051.6
378,Read,2023-6-29-09:08:23,2055.6
379,Write,2023-6-29-09:08:23,2057.7
380,Read,2023-6-29-09:08:23,2055.6
381,Write,2023-6-29-09:08:23,2058.0
382,Read,2023-6-29-09:08:24,2056.1
383,Write,2023-6-29-09:08:24,2055.7
384,Read,2023-6-29-09:08:24,2055.9
385,Write,2023-6-29-09:08:24,2055.8
386,Read,2023-6-29-09:08:25,2053.6
387,Write,2023-6-29-09:08:25,2052.1
388,Read,2023-6-29-09:08:25,2057.5
389,Write,2023-6-29-09:08:25,2054.6
390,Read,2023-6-29-09:08:26,2055.8
391,Write,2023-6-29-09:08:26,2058.6
392,Read,2023-6-29-09:08:26,2055.6
393,Write,2023-6-29-09:08:26,2055.7
394,Read,2023-6-29-09:08:27,2056.3
395,Write,2023-6-29-09:08:27,2054.8
396,Read,2023-6-29-09:08:27,2055.7
397,Write,2023-6-29-09:08:27,2057.0
398,Read,2023-6-29-09:08:28,2055.4
399,Write,2023-6-29-09:08:28,2055.9
400,Read,2023-6-29-09:08:28,2055.9
401,Write,2023-6-29-09:08:28,2055.6
402,Read,2023-6-29-09:08:29,2055.3
403,Write,2023-6-29-09:08:29,2055.9
404,Read,2023-6-29-09:08:29,2057.0
405,Write,2023-6-29-09:08:29,2054.6
406,Read,2023-6-29-09:08:30,2055.8
407,Write,2023-6-29-09:08:30,2057.3
408,Read,2023-6-29-09:08:30,2055.4
409,Write,2023-6-29-09:08:30,2054.4
410,Read,2023-6-29-09:08:31,2055.8
411,Write,2023-6-29-09:08:31,2056.7
412,Read,2023-6-29-09:08:31,2056.3
413,Write,2023-6-29-09:08:31,2056.1
414,Read,2023-6-29-09:08:32,2056.0
415,Write,2023-6-29-09:08:32,2055.6
416,Read,2023-6-29-09:08:32,2055.6
417,Write,2023-6-29-09:08:32,2054.5
418,Read,2023-6-29-09:08:33,2056.1
419,Write,2023-6-29-09:08:33,2057.6
420,Read,2023-6-29-09:08:33,2055.2
421,Write,2023-6-29-09:08:33,2055.6
422,Read,2023-6-29-09:08:34,2055.6
423,Write,2023-6-29-09:08:34,2055.8
424,Read,2023-6-29-09:08:34,2056.0
425,Write,2023-6-29-09:08:34,2055.7
426,Read,2023-6-29-09:08:35,2056.0
427,Write,2023-6-29-09:08:35,2055.7
428,Read,2023-6-29-09:08:35,2055.4
429,Write,2023-6-29-09:08:35,2049.6
430,Read,2023-6-29-09:08:36,2056.3
431,Write,2023-6-29-09:08:36,2062.5
432,Read,2023-6-29-09:08:36,2055.1
433,Write,2023-6-29-09:08:36,2055.6
434,Read,2023-6-29-09:08:37,2056.6
435,Write,2023-6-29-09:08:37,2056.0
436,Read,2023-6-29-09:08:37,2055.2
437,Write,2023-6-29-09:08:37,2055.8
438,Read,2023-6-29-09:08:38,2055.9
439,Write,2023-6-29-09:08:38,2049.3
440,Read,2023-6-29-09:08:38,2055.6
441,Write,2023-6-29-09:08:38,2061.9
442,Read,2023-6-29-09:08:39,2055.9
443,Write,2023-6-29-09:08:39,2055.9
444,Read,2023-6-29-09:08:39,2055.8
445,Write,2023-6-29-09:08:39,2054.1
446,Read,2023-6-29-09:08:40,2056.2
447,Write,2023-6-29-09:08:40,2056.5
448,Read,2023-6-29-09:08:40,2055.6
449,Write,2023-6-29-09:08:40,2055.9
450,Read,2023-6-29-09:08:41,2055.9
451,Write,2023-6-29-09:08:41,2057.1
452,Read,2023-6-29-09:08:41,2055.8
453,Write,2023-6-29-09:08:41,2055.8
454,Read,2023-6-29-09:08:42,2056.0
455,Write,2023-6-29-09:08:42,2055.9
456,Read,2023-6-29-09:08:42,2056.2
457,Write,2023-6-29-09:08:42,2054.5
458,Read,2023-6-29-09:08:43,2055.9
459,Write,2023-6-29-09:08:43,2057.3
460,Read,2023-6-29-09:08:43,2055.7
461,Write,2023-6-29-09:08:43,2056.0
462,Read,2023-6-29-09:08:44,2055.6
463,Write,2023-6-29-09:08:44,2055.5
464,Read,2023-6-29-09:08:44,2056.3
465,Write,2023-6-29-09:08:44,2056.0
466,Read,2023-6-29-09:08:45,2055.5
467,Write,2023-6-29-09:08:45,2055.9
468,Read,2023-6-29-09:08:45,2056.5
469,Write,2023-6-29-09:08:45,2055.4
470,Read,2023-6-29-09:08:46,2055.6
471,Write,2023-6-29-09:08:46,2056.5
472,Read,2023-6-29-09:08:46,2055.5
473,Write,2023-6-29-09:08:46,2055.9
474,Read,2023-6-29-09:08:47,2056.0
475,Write,2023-6-29-09:08:47,2056.0
476,Read,2023-6-29-09:08:47,2055.9
477,Write,2023-6-29-09:08:47,2055.8
478,Read,2023-6-29-09:08:48,2056.2
479,Write,2023-6-29-09:08:48,2055.8
480,Read,2023-6-29-09:08:48,2055.4
481,Write,2023-6-29-09:08:48,2053.7
482,Read,2023-6-29-09:08:49,2055.5
483,Write,2023-6-29-09:08:49,2057.7
484,Read,2023-6-29-09:08:49,2056.0
485,Write,2023-6-29-09:08:49,2056.0
486,Read,2023-6-29-09:08:50,2055.9
487,Write,2023-6-29-09:08:50,2053.8
488,Read,2023-6-29-09:08:50,2056.0
489,Write,2023-6-29-09:08:50,2057.7
490,Read,2023-6-29-09:08:51,2055.2
491,Write,2023-6-29-09:08:51,2054.4
492,Read,2023-6-29-09:08:51,2055.6
493,Write,2023-6-29-09:08:51,2056.9
494,Read,2023-6-29-09:08:52,2055.5
495,Write,2023-6-29-09:08:52,2055.7
496,Read,2023-6-29-09:08:52,2056.0
497,Write,2023-6-29-09:08:52,2056.2
498,Read,2023-6-29-09:08:53,2055.7
499,Write,2023-6-29-09:08:53,2053.3
500,Read,2023-6-29-09:08:53,2050.9
501,Write,2023-6-29-09:08:53,2055.8
502,Read,2023-6-29-09:08:54,2056.1
503,Write,2023-6-29-09:08:54,2058.3
504,Read,2023-6-29-09:08:54,2055.8
505,Write,2023-6-29-09:08:54,2055.9
506,Read,2023-6-29-09:08:55,2055.1
507,Write,2023-6-29-09:08:55,2055.7
508,Read,2023-6-29-09:08:55,2055.9
509,Write,2023-6-29-09:08:55,2054.4
510,Read,2023-6-29-09:08:56,2056.2
511,Write,2023-6-29-09:08:56,2057.2
512,Read,2023-6-29-09:08:56,2055.9
513,Write,2023-6-29-09:08:56,2056.0
514,Read,2023-6-29-09:08:57,2055.9
515,Write,2023-6-29-09:08:57,2056.0
516,Read,2023-6-29-09:08:57,2055.8
517,Write,2023-6-29-09:08:57,2054.0
518,Read,2023-6-29-09:08:58,2056.1
519,Write,2023-6-29-09:08:58,2056.1
520,Read,2023-6-29-09:08:58,2055.9
521,Write,2023-6-29-09:08:58,2057.2
522,Read,2023-6-29-09:08:59,2055.4
523,Write,2023-6-29-09:08:59,2055.9
524,Read,2023-6-29-09:08:59,2055.8
525,Write,2023-6-29-09:08:59,2056.0
526,Read,2023-6-29-09:09:00,2055.7
527,Write,2023-6-29-09:09:00,2055.8
528,Read,2023-6-29-09:09:00,2055.9
529,Write,2023-6-29-09:09:00,2055.7
530,Read,2023-6-29-09:09:01,2054.6
531,Write,2023-6-29-09:09:01,2050.8
532,Read,2023-6-29-09:09:01,2057.6
533,Write,2023-6-29-09:09:01,2061.5
534,Read,2023-6-29-09:09:02,2042.5
535,Write,2023-6-29-09:09:02,2041.3
536,Read,2023-6-29-09:09:02,2070.0
537,Write,2023-6-29-09:09:02,2070.8
538,Read,2023-6-29-09:09:03,2055.9
539,Write,2023-6-29-09:09:03,2054.2
540,Read,2023-6-29-09:09:03,2055.6
541,Write,2023-6-29-09:09:03,2055.4
542,Read,2023-6-29-09:09:04,2055.2
543,Write,2023-6-29-09:09:04,2057.2
544,Read,2023-6-29-09:09:04,2056.5
545,Write,2023-6-29-09:09:04,2056.3
546,Read,2023-6-29-09:09:05,2055.9
547,Write,2023-6-29-09:09:05,2055.8
548,Read,2023-6-29-09:09:05,2055.8
549,Write,2023-6-29-09:09:05,2054.2
550,Read,2023-6-29-09:09:06,2055.8
551,Write,2023-6-29-09:09:06,2052.2
552,Read,2023-6-29-09:09:06,2055.4
553,Write,2023-6-29-09:09:06,2061.2
554,Read,2023-6-29-09:09:07,2055.7
555,Write,2023-6-29-09:09:07,2055.9
556,Read,2023-6-29-09:09:07,2056.0
557,Write,2023-6-29-09:09:07,2055.9
558,Read,2023-6-29-09:09:08,2055.5
559,Write,2023-6-29-09:09:08,2055.7
560,Read,2023-6-29-09:09:08,2056.3
561,Write,2023-6-29-09:09:08,2055.8
562,Read,2023-6-29-09:09:09,2056.0
563,Write,2023-6-29-09:09:09,2055.8
564,Read,2023-6-29-09:09:09,2055.9
565,Write,2023-6-29-09:09:09,2055.8
566,Read,2023-6-29-09:09:10,2056.3
567,Write,2023-6-29-09:09:10,2055.6
568,Read,2023-6-29-09:09:10,2055.9
569,Write,2023-6-29-09:09:10,2056.2
570,Read,2023-6-29-09:09:11,2056.1
571,Write,2023-6-29-09:09:11,2054.1
572,Read,2023-6-29-09:09:11,2056.0
573,Write,2023-6-29-09:09:11,2056.2
574,Read,2023-6-29-09:09:12,2055.2
575,Write,2023-6-29-09:09:12,2057.3
576,Read,2023-6-29-09:09:12,2056.3
577,Write,2023-6-29-09:09:12,2056.0
578,Read,2023-6-29-09:09:13,2056.8
579,Write,2023-6-29-09:09:13,2055.1
580,Read,2023-6-29-09:09:13,2055.5
581,Write,2023-6-29-09:09:13,2057.4
582,Read,2023-6-29-09:09:14,2055.9
583,Write,2023-6-29-09:09:14,2056.0
584,Read,2023-6-29-09:09:14,2056.0
585,Write,2023-6-29-09:09:14,2056.0
586,Read,2023-6-29-09:09:15,2056.1
587,Write,2023-6-29-09:09:15,2055.9
588,Read,2023-6-29-09:09:15,2055.7
589,Write,2023-6-29-09:09:15,2055.7
590,Read,2023-6-29-09:09:16,2056.0
591,Write,2023-6-29-09:09:16,2051.5
592,Read,2023-6-29-09:09:16,2056.0
593,Write,2023-6-29-09:09:16,2060.5
594,Read,2023-6-29-09:09:17,2055.1
595,Write,2023-6-29-09:09:17,2055.6
596,Read,2023-6-29-09:09:17,2056.7
597,Write,2023-6-29-09:09:17,2056.2
598,Read,2023-6-29-09:09:18,2056.0
599,Write,2023-6-29-09:09:18,2040.4
600,Read,2023-6-29-09:09:18,2055.7
601,Write,2023-6-29-09:09:18,2071.7
602,Read,2023-6-29-09:09:19,2056.1
603,Write,2023-6-29-09:09:19,2054.9
604,Read,2023-6-29-09:09:19,2055.4
605,Write,2023-6-29-09:09:19,2056.8
606,Read,2023-6-29-09:09:20,2055.6
